order_id,product,category,price,quantity,customer_country
1000,Necklace,Jewelry,189.32,1,Australia
1001,Laptop,Electronics,133.76,4,Australia
1002,Pants,Clothing,42.84,4,Canada
1003,Sunglasses,Accessories,54.85,3,Canada
1004,Pants,Clothing,142.53,5,UK
1005,Phone,Electronics,123.65,4,UK
1006,Speaker,Electronics,38.4,3,Australia
1007,Ring,Jewelry,171.32,3,Germany
1008,Shoes,Clothing,189.48,4,UK
1009,Belt,Accessories,150.28,1,Germany
1010,Sunglasses,Accessories,20.8,4,UK
1011,Dress,Clothing,171.02,1,France
1012,Headphones,Electronics,48.61,3,Australia
1013,Necklace,Jewelry,161.65,3,Germany
1014,Hat,Clothing,58.65,2,Australia
1015,Dress,Clothing,13.49,2,US
1016,Shirt,Clothing,39.3,5,UK
1017,Dress,Clothing,67.9,3,Canada
1018,Pants,Clothing,144.98,3,Germany
1019,Shirt,Clothing,62.79,5,Australia
1020,Bracelet,Jewelry,39.07,5,UK
1021,Headphones,Electronics,10.74,2,US
1022,Necklace,Jewelry,186.22,2,Germany
1023,Wallet,Accessories,65.91,4,UK
1024,Scarf,Accessories,177.16,1,Germany
1025,Phone,Electronics,98.69,4,Canada
1026,Shoes,Clothing,131.5,2,UK
1027,Comic Book,Books,30.36,2,Germany
1028,Sunglasses,Accessories,162.48,1,Canada
1029,Tablet,Electronics,167.68,5,Germany
1030,Shoes,Clothing,151.83,4,Australia
1031,Novel,Books,24.04,3,Canada
1032,Ring,Jewelry,30.58,2,Australia
1033,Watch,Jewelry,181.36,4,Germany
1034,Shirt,Clothing,160.42,5,Canada
1035,Laptop,Electronics,15.88,5,UK
1036,Laptop,Electronics,176.03,1,UK
1037,Earrings,Jewelry,109.03,4,Germany
1038,Hat,Clothing,120.69,1,Canada
1039,Scarf,Accessories,53.7,1,US
1040,Pants,Clothing,30.75,5,Australia
1041,Biography,Books,30.23,5,UK
1042,Comic Book,Books,125.57,1,US
1043,Bracelet,Jewelry,108.61,4,US
1044,Comic Book,Books,13.48,1,UK
1045,Belt,Accessories,110.45,2,US
1046,Laptop,Electronics,68.9,4,France
1047,Wallet,Accessories,174.92,2,Germany
1048,Scarf,Accessories,135.3,4,US
1049,Belt,Accessories,48.75,4,Germany
1050,Belt,Accessories,81.98,3,France
1051,Textbook,Books,11.95,5,Germany
1052,Shirt,Clothing,153.12,3,Australia
1053,Wallet,Accessories,106.59,5,US
1054,Wallet,Accessories,97.28,3,UK
1055,Shoes,Clothing,37.28,5,US
1056,Dress,Clothing,92.54,2,Australia
1057,Comic Book,Books,25.48,4,Canada
1058,Necklace,Jewelry,127.9,1,UK
1059,Cookbook,Books,91.44,3,Germany
1060,Novel,Books,121.51,2,Germany
1061,Textbook,Books,10.89,4,Australia
1062,Phone,Electronics,107.34,5,UK
1063,Novel,Books,154.91,1,Canada
1064,Laptop,Electronics,92.22,1,Australia
1065,Wallet,Accessories,156.61,1,Australia
1066,Scarf,Accessories,86.94,4,UK
1067,Hat,Accessories,49.21,4,US
1068,Laptop,Electronics,140.7,1,UK
1069,Phone,Electronics,41.51,1,Canada
1070,Cookbook,Books,103.45,3,UK
1071,Necklace,Jewelry,124.72,3,Australia
1072,Scarf,Accessories,167.29,5,UK
1073,Novel,Books,44.05,1,UK
1074,Comic Book,Books,87.03,3,UK
1075,Hat,Clothing,173.76,4,Canada
1076,Hat,Accessories,17.83,4,US
1077,Belt,Accessories,97.24,5,Canada
1078,Necklace,Jewelry,193.27,1,UK
1079,Dress,Clothing,24.4,3,Canada
1080,Wallet,Accessories,198.92,4,Germany
1081,Cookbook,Books,198.48,5,Germany
1082,Laptop,Electronics,15.31,3,France
1083,Scarf,Accessories,44.26,5,Germany
1084,Bracelet,Jewelry,198.48,5,Canada
1085,Shoes,Clothing,61.42,4,Australia
1086,Sunglasses,Accessories,193.36,1,Canada
1087,Belt,Accessories,101.92,1,France
1088,Tablet,Electronics,130.19,1,Germany
1089,Hat,Clothing,193.79,5,UK
1090,Wallet,Accessories,138.44,4,US
1091,Ring,Jewelry,94.08,1,Germany
1092,Belt,Accessories,79.46,5,France
1093,Speaker,Electronics,119.11,3,France
1094,Necklace,Jewelry,50.91,1,France
1095,Biography,Books,128.16,4,Australia
1096,Laptop,Electronics,22.21,2,US
1097,Sunglasses,Accessories,199.06,1,UK
1098,Speaker,Electronics,47.51,4,Australia
1099,Scarf,Accessories,17.0,3,Australia
1100,Hat,Accessories,17.59,4,Germany
1101,Scarf,Accessories,168.3,5,Canada
1102,Wallet,Accessories,35.12,3,Canada
1103,Belt,Accessories,138.97,2,Germany
1104,Cookbook,Books,138.16,4,Canada
1105,Hat,Clothing,51.83,5,Canada
1106,Necklace,Jewelry,193.87,1,UK
1107,Wallet,Accessories,47.18,2,France
1108,Ring,Jewelry,111.05,5,France
1109,Phone,Electronics,79.56,2,France
1110,Laptop,Electronics,24.63,3,Canada
1111,Novel,Books,119.92,1,US
1112,Tablet,Electronics,78.96,3,UK
1113,Speaker,Electronics,175.06,3,Australia
1114,Hat,Clothing,86.99,4,Germany
1115,Necklace,Jewelry,157.06,1,Canada
1116,Earrings,Jewelry,14.87,4,Germany
1117,Hat,Accessories,155.98,1,US
1118,Necklace,Jewelry,33.71,5,Canada
